id,timestamp,user_id,name,description,price,active
16,2023-03-03 12:53:33,0,apple,"price is derived from sheng shiong 5 for $3.45

An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are 
cultivated worldwide and are the most widely grown species in the genus Malus. The tree 
originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today. 
Apples have been grown for thousands of years in Asia and Europe and were brought to North 
America by European colonists. Apples have religious and mythological significance in many 
cultures, including Norse, Greek, and European Christian tradition.

Apples grown from seed tend to be very different from those of their parents, and the resultant 
fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by 
clonal grafting onto rootstocks. Apple trees grown without rootstocks tend to be larger and 
much slower to fruit after planting. contains antioxidants",0.46,1
17,2023-02-24 23:08:59,0,avocado,"price derived from shengsiong 3 for $5.95 deal

The avocado (Persea americana) is a medium-sized, evergreen tree in the laurel family (Lauraceae). 
It is native to the Americas and was first domesticated by Mesoamerican tribes more than 5,000 years ago. 
Then as now it was prized for its large and unusually oily fruit. The tree likely originated 
in the highlands bridging south-central Mexico and Guatemala. Its fruit, sometimes also referred to as 
an alligator or avocado pear, is botanically a large berry containing a single large seed. Avocado trees 
are partly self-pollinating, and are often propagated through grafting to maintain consistent fruit output. 
Avocados are presently cultivated in the tropical and Mediterranean climates of many countries. Mexico is 
the world's leading producer of avocados as of 2020, supplying nearly 30% of the global harvest in that year.",1.32,1
18,2023-02-24 23:53:06,0,banana,"A banana is an elongated, edible fruit - botanically a berry - produce
d by several kinds of large herbaceous flowering plants in the genus M
usa. In some countries, bananas used for cooking may be called ""planta
ins"", distinguishing them from dessert bananas. The fruit is variable 
in size, color, and firmness, but is usually elongated and curved, wit
h soft flesh rich in starch covered with a rind, which may be green, y
ellow, red, purple, or brown when ripe. The fruits grow upward in clus
ters near the top of the plant. Almost all modern edible seedless (par
thenocarp) bananas come from two wild species - Musa acuminata and Mus
a balbisiana. The scientific names of most cultivated bananas are Musa
 acuminata, Musa balbisiana, and Musa × paradisiaca for the hybrid Mu
sa acuminata × M. balbisiana, depending on their genomic constitution
. The old scientific name for this hybrid, Musa sapientum, is no longe
r used.

Musa species are native to tropical Indomalaya and Australia,
 and are",0.25,1
19,2023-02-24 23:58:06,0,black pepper,"price derived from shengsiong happy family packet

Black pepper (Piper nigrum) is a flowering vine in the family Piperace
ae, cultivated for its fruit (the peppercorn), which is usually dried 
and used as a spice and seasoning. The fruit is a drupe (stonefruit) w
hich is about 5 mm (0.20 in) in diameter (fresh and fully mature), dar
k red, and contains a stone which encloses a single pepper seed. Peppe
rcorns and the ground pepper derived from them may be described simply
 as pepper, or more precisely as black pepper (cooked and dried unripe
 fruit), green pepper (dried unripe fruit), or white pepper (ripe frui
t seeds).

Black pepper is native to the Malabar Coast of India, and t
he Malabar pepper is extensively cultivated there and in other tropica
l regions.

Ground, dried, and cooked peppercorns have been used since
 antiquity, both for flavor and as a traditional medicine. Black peppe
r is the world's most traded spice, and is one of the most common spic
es added to cuisines aroun",1.96,1
20,2023-02-25 00:08:21,0,chamomile tea w water,"Chamomile (American English) or camomile (British English; see spellin
g differences) is the common name for several daisy-like plants of the
 family Asteraceae. Two of the species, Matricaria chamomilla and Cham
aemelum nobile, are commonly used to make herbal infusions for beverag
es. There is insufficient scientific evidence that consuming chamomile
 in foods or beverages has any beneficial effects on health.

Chamomil
e tea is a herbal infusion made from dried flowers and hot water, and 
may improve sleep quality. Two types of chamomile used are German cham
omile (Matricaria recutita) and Roman chamomile (Chamaemelum nobile).


The main constituents of chamomile flowers are polyphenol compounds, 
including apigenin, quercetin, patuletin, and luteolin. Chamomile is u
nder preliminary research for its potential anti-anxiety properties. T
here is no high-quality clinical evidence that it is useful for treati
ng insomnia or any disease.

The use of chamomile has the potential to
 cause",0.12,1
21,2023-02-25 00:15:58,0,chia seed,"Chia seeds are the edible seeds of Salvia hispanica, a flowering plant
 in the mint family (Lamiaceae) native to central and southern Mexico,
 or of the related Salvia columbariae of the southwestern United State
s and Mexico. Chia seeds are oval and gray with black and white spots,
 having a diameter around 2 millimetres (0.08 in). The seeds are hygro
scopic, absorbing up to 12 times their weight in liquid when soaked an
d developing a mucilaginous coating that gives chia-based foods and be
verages a distinctive gel texture.

There is evidence that the crop wa
s widely cultivated by the Aztecs in pre-Columbian times and was a sta
ple food for Mesoamerican cultures. Chia seeds are cultivated on a sma
ll scale in their ancestral homeland of central Mexico and Guatemala a
nd commercially throughout Central and South America.",1.64,1
22,2023-02-25 00:24:05,0,chicken,"price derived from shengsiong jean fresh packet chicken breast

Chicken isst common type of poultry in the world.[1] Owing to the relative ease and low cost of raising chickens—in comparison to mammals such as cattle or hogs—chicken meat (commonly called just ""chicken"") and chicken eggs have become prevalent in numerous cuisines.

Chicken can be prepared in 

The vast majority of poultry are raised in factory farms. According to the Worldwatch Institute, 74 percent of the world's poultry meat and 68 percent of eggs are produced this way.[78] An alternative to intensive poultry farming is free-range farming.

Friction between these two main] methods has led to long-term issues of ethical consumerism. ",1.6,1
23,2023-02-25 00:26:18,0,egg,"price derived from shengshiong 30 pcs 

Humans and human ancestors have scavenged and eaten animal eggs for millions of years.[1] Humans in Southeast Asia had domesticated chickens and harvested their eggs for food by 1500 BCE.[2] The most widely consumed eggs are those of fowl, especially chickens. Eggs of other birds, including ostriches and other ratites, are eaten regularly but much less commonly than those of chickens. People may also eat the eggs of reptiles, amphibians, and fish. Fish eggs consumed as food are known as roe or caviar.",0.48,1
24,2023-02-25 00:29:48,0,hl milk,"price dderived from shengsiong 2 for 6.05 deal

Milk is a white liquid food produced by the mammary glands of mammals. It is the primary source of nutrition for young mammals (including breastfed human infants) before they are able to digest solid food.[1] Immune factors and immune-modulating components in milk contribute to milk immunity. Early-lactation milk, which is called colostrum, contains antibodies that s",0.3,1
25,2023-02-25 00:34:00,0,horlicks,"price derived from shengsiong Horlicks 1kg refill pack

Horlicks is a sweet malted milk hot drink powder developed by founders James and William Horlick. It was first sold as ""Horlick's Infant and Invalids Food"", soon adding ""aged and travellers"" to their label.[1] In the early 20th century, it was sold as a powdered meal replacement drink mix.",1.09,1
